ID	DepMap
BEN	ACH-000603
KYO1	ACH-000604
TE6	ACH-000605
PECAPJ34CLONEC12	ACH-000606
KYM1	ACH-000607
COV644	ACH-000608
SF126	ACH-000609
NCIH2227	ACH-000610
SUDHL6	ACH-000611
HUT102	ACH-000612
HOS	ACH-000613
RVH421	ACH-000614
SKMEL28	ACH-000615
HS746T	ACH-000616
OVCAR4	ACH-000617
SNU1041	ACH-000618
PECAPJ15	ACH-000619
JHH1	ACH-000620
MDAMB157	ACH-000621
KNS42	ACH-000622
SNU201	ACH-000623
HCC1806	ACH-000624
HEP3B217	ACH-000625
U266B1	ACH-000626
LCLC103H	ACH-000627
NCIH596	ACH-000628
IOMMLEE	ACH-000629
YD8	ACH-000630
KS1	ACH-000631
HS944T	ACH-000632
FU97	ACH-000633
LN340	ACH-000634
SNU119	ACH-000635
RPMI8402	ACH-000636
KYSE520	ACH-000637
NCIH441	ACH-000638
NCIH211	ACH-000639
SKMEL31	ACH-000640
CMK	ACH-000641
CAL120	ACH-000212
HCC38	ACH-000276
COLO829	ACH-000644
JL1	ACH-000645
OVMANA	ACH-000646
TE1	ACH-000647
NCIH28	ACH-000648
786O	ACH-000649
IGR37	ACH-000650
SW620	ACH-000651
SUIT2	ACH-000652
JJN3	ACH-000653
RAJI	ACH-000654
SF268	ACH-000655
SUDHL8	ACH-000656
A2780	ACH-000657
KMS18	ACH-000658
SCLC21H	ACH-000659
SUDHL5	ACH-000660
WM1799	ACH-000661
CORL23	ACH-000662
OVTOKO	ACH-000663
SUDHL1	ACH-000664
SKMES1	ACH-000665
NCIH1355	ACH-000666
HCC44	ACH-000667
UACC812	ACH-000568
SW900	ACH-000669
SBC5	ACH-000670
HUH6	ACH-000671
IALM	ACH-000672
LN443	ACH-000673
NUGC4	ACH-000674
NCIH1734	ACH-000675
LN464	ACH-000676
SW1573	ACH-000677
MKN7	ACH-000678
OE19	ACH-000679
SW948	ACH-000680
A549	ACH-000681
SNU1066	ACH-000682
SNU503	ACH-000683
KMRC1	ACH-000684
L33	ACH-000685
SNU878	ACH-000686
JEKO1	ACH-000357
OV7	ACH-000688
RH18	ACH-000689
HCC2814	ACH-000690
SUM229PE	ACH-001394
SNU899	ACH-000692
KYSE180	ACH-000693
TE9	ACH-000694
CORL47	ACH-000695
OVCAR8	ACH-000696
A3KAW	ACH-000697
DMS53	ACH-000698
HCC1395	ACH-000699
NCIH2882	ACH-000700
RMUGS	ACH-000701
L1236	ACH-000702
DMS79	ACH-000703
OAW42	ACH-000704
LC1F	ACH-000705
EKVX	ACH-000706
P3HR1	ACH-000707
SNU283	ACH-000708
KMRC2	ACH-000709
NCIH854	ACH-000710
JIMT1	ACH-000711
HCC1833	ACH-000712
CAOV3	ACH-000713
KMS11	ACH-000714
SNU1214	ACH-000715
TT2609C02	ACH-000716
COLO680N	ACH-000717
NCIH2291	ACH-000718
RMGI	ACH-000719
TCCSUP	ACH-000720
HMC18	ACH-000721
SNUC1	ACH-000722
YD10B	ACH-000723
HT1376	ACH-000724
HCC202	ACH-000725
TE14	ACH-000726
NCIH2066	ACH-000727
MHHCALL2	ACH-000020
NCIH1963	ACH-000729
SKMEL5	ACH-000730
HCC2279	ACH-000731
PECAPJ41CLONED2	ACH-000732
NCIH1838	ACH-000733
JHH5	ACH-000734
PECAPJ49	ACH-000735
SNU601	ACH-000736
NCIH1385	ACH-000737
GB1	ACH-000738
HEPG2	ACH-000739
A253	ACH-000740
UBLC1	ACH-000741
DM3	ACH-000742
CORL95	ACH-000743
NCIH1623	ACH-000744
MOLP8	ACH-000745
GSS	ACH-000746
NCIH1703	ACH-000747
SJSA1	ACH-000748
DMS273	ACH-000749
LOXIMVI	ACH-000750
OCIM1	ACH-000751
NCIH196	ACH-000752
JMSU1	ACH-000753
L428	ACH-000754
SUM52PE	ACH-001396
GI1	ACH-000756
A427	ACH-000757
MKN74	ACH-000758
LNZ308	ACH-000760
NUGC2	ACH-000761
YD38	ACH-000762
MM1S	ACH-000763
SH10TC	ACH-000764
WM983B	ACH-000765
NCIH1648	ACH-000766
NCIH526	ACH-000767
MDAMB231	ACH-000768
LK2	ACH-000769
P31FUJ	ACH-000770
BICR56	ACH-000771
TE441T	ACH-000772
KIJK	ACH-000773
RERFLCAD2	ACH-000774
NCIH727	ACH-000775
ONS76	ACH-000776
KYSE30	ACH-000777
HSC3	ACH-000778
PC9	ACH-000779
NCIH1105	ACH-000780
